parking,name,owner,address,postCode,email,telephone,type,capacity,numberOfLevels,covered,website,publicAccess,temporarilyClosed,intendedAudience,OpenStreetMap,latitude,longitude,shape,freeOfCharge,price,openingHours
https://data.velopark.be/data/Gemeente-Gavere_GA01,Mobipunt - Gavere,Gemeente Gavere,Burchtweg,9890,infrastructuur@gavere.be,093892960,https://data.velopark.be/openvelopark/terms#PublicBicycleParking,48,1,true,,true,false,Iedereen,https://www.openstreetmap.org/#map=18/50.93057134135154/3.6546917706073145,50.93057134135154,3.6546917706073145,"POLYGON ((3.654592730072181 50.93054294107341, 3.6547992601663277 50.93060126309675, 3.654848881033103 50.9305370243423, 3.6546450331479714 50.930477011741516, 3.654592730072181 50.930542941073355))",,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Fietsambassade-Gent_Emile-Braun-Plein,Emile Braun Plein,De Fietsambassade Gent,Emile Braunplein,9000,fietsendepot.defietsambassade@stad.gent,092667068,https://data.velopark.be/openvelopark/terms#PublicBicycleParking,80,1,true,https://fietsambassade.gent.be/nl/fiets-parkeren/fietsenparkings,true,false,,https://www.openstreetmap.org/#map=18/51.05406761590069/3.7237078417092557,51.05406761590069,3.7237078417092557,"POLYGON ((3.723668467719108 51.05414348588579, 3.7236349401064217 51.05408953390918, 3.72373015852645 51.05406592989959, 3.7237717327661812 51.054123253901906, 3.723668467719108 51.05414348588491))",true,,Mon_00:00-01:00&07:00-23:59;Tue_00:00-01:00&07:00-23:59;Wed_00:00-01:00&07:00-23:59;Thu_00:00-01:00&07:00-23:59;Fri_00:00-01:00&07:00-23:59;Sat_00:00-03:00&07:00-23:59;Sun_00:00-03:00&07:00-23:59
https://data.velopark.be/data/De-Fietsambassade-Gent_Korenmarkt,Korenmarkt,De Fietsambassade Gent,Pakhuisstraat,9000,fietsendepot.defietsambassade@stad.gent,092667068,https://data.velopark.be/openvelopark/terms#PublicBicycleParking,210,1,true,https://fietsambassade.gent.be/nl/fiets-parkeren/fietsenparkings,true,false,,https://www.openstreetmap.org/#map=18/51.05398837378354/3.7211719388142233,51.05398837378354,3.7211719388142233,"POLYGON ((3.7211324390955265 51.053985001775544, 3.7211378035135567 51.05390491651352, 3.7214395520277317 51.05391166054096, 3.7214341876097015 51.05398921678545, 3.7211324390955265 51.053985001775544))",true,,Mon_00:00-01:00&07:00-23:59;Tue_00:00-01:00&07:00-23:59;Wed_00:00-01:00&07:00-23:59;Thu_00:00-01:00&07:00-23:59;Fri_00:00-01:00&07:00-23:59;Sat_00:00-03:00&07:00-23:59;Sun_00:00-03:00&07:00-23:59
https://data.velopark.be/data/De-Lijn_204647, Steendorp Hemelrijkstraat,De Lijn,Kapelstraat 2,9140,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.133052/4.277252,51.133052,4.277252,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_205633, Kruibeke Scheldelei,De Lijn,Langestraat 120,9150,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.176079/4.315807,51.176079,4.315807,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_205635, Kruibeke Mercatorstraat,De Lijn,Bazelstraat 73,9150,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.167268/4.310567,51.167268,4.310567,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_205636, Kruibeke Moortelstraat,De Lijn,Bazelstraat 168,9150,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.162093/4.305951,51.162093,4.305951,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_218026, Kruishoutem Nieuw Plein Perron 1,De Lijn,Nieuw Plein 21,9770,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/50.902824/3.526507,50.902824,3.526507,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_218027, Kruishoutem Nieuw Plein Perron 2,De Lijn,Nieuw Plein 19,9770,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/50.902885/3.526611,50.902885,3.526611,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_202518, Kalken Belindestraat,De Lijn,Nerenweg,9270,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.037438/3.899926,51.037438,3.899926,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_202519, Kalken Steenbeekstraat,De Lijn,Nerenweg 156,9270,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.036202/3.90494,51.036202,3.90494,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_202521, Kalken Kerk,De Lijn,Vaartstraat,9270,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.036367/3.917048,51.036367,3.917048,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_202528, Kalken Gaverstraatje,De Lijn,Gaverstraat 44,9270,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.044474/3.929011,51.044474,3.929011,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_203520, Kalken Bieststraat,De Lijn,Nerenweg 40A,9270,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.035796/3.911713,51.035796,3.911713,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_203521, Kalken Kerk,De Lijn,Vaartstraat,9270,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.036318/3.916998,51.036318,3.916998,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_201691, Lovendegem Appensvoorde,De Lijn,Appensvoordestraat 108,9920,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.098295/3.638281,51.098295,3.638281,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_202369, Lovendegem Triestlaan,De Lijn,Molendreef,9920,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.098315/3.610302,51.098315,3.610302,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
https://data.velopark.be/data/De-Lijn_202225, Maldegem Halledreef,De Lijn,Halledreef 15,9990,,,https://data.velopark.be/openvelopark/terms#BicycleStand,5,1,false,https://www.delijn.be/en/contact/,true,false,,https://www.openstreetmap.org/#map=18/51.181515/3.450335,51.181515,3.450335,,true,,Mon_00:00-23:59;Tue_00:00-23:59;Wed_00:00-23:59;Thu_00:00-23:59;Fri_00:00-23:59;Sat_00:00-23:59;Sun_00:00-23:59
