parking,name,owner,address,postCode,email,telephone,type,capacity,numberOfLevels,covered,website,publicAccess,temporarilyClosed,intendedAudience,OpenStreetMap,latitude,longitude,shape,freeOfCharge,price
https://velopark.ilabt.imec.be/data/Mobiliteit-en-parkeren-Antwerpen_MPA_Havana,Fietspaviljoen Havana,Mobiliteit en parkeren Antwerpen,Noorderlaan 500,2030,info@slimnaarantwerpen.be,03 22 11 333,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,440,2,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,true,,"Pendelaars, bezoekers, gebruikers P&R, ...",https://www.openstreetmap.org/#map=18/51.262815326550395/4.418647999342262,51.262815326550395,4.418647999342262,"POLYGON ((4.418108204780488 51.2629540229548, 4.419015126701176 51.26287639760247, 4.418991657372295 51.26276310631113, 4.4186429702003585 51.262790380166024, 4.4186429702003585 51.26284702581299, 4.418096470113575 51.262894230465434, 4.418108204780488 51.2629540229548))",true,
https://velopark.ilabt.imec.be/data/Parking.Brussels_GP01,GP01 - Bourse,Parking.Brussels,Station de Metro Bourse - Grand Place,1000,cycloparking@cyclo.org,02 414 03 00,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,628,1,,www.cycloparking.brussels,false,,Abonnés,https://www.openstreetmap.org/#map=18/50.84801999999999/4.34918,50.84801999999999,4.34918,"POLYGON ((4.349279198795557 50.848141968961784, 4.348898325115441 50.847799883209944, 4.349188003689051 50.84769149908206, 4.349525962024927 50.84804374657688, 4.349279198795557 50.848141968961784))",false,30
https://velopark.ilabt.imec.be/data/Ville-de-Namur_Namur---Hôtel-de-Ville,Namur - Parking Hotel de Ville,Ville de Namur,Rue des Dames Blanches,5000,mobilite@ville.namur.be,081 24 64 79,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,90,,,https://www.namur.be/fr/ma-ville/mobilite/mobilite/stationnement/voiture/parkings-centre-ville/parking-hotel-de-ville,true,,Ce parking est accessible gratuitement et sans abonnement à tout le monde.,https://www.openstreetmap.org/#map=18/50.46710408089109/4.866745801228972,50.46710408089109,4.866745801228972,"POLYGON ((4.866757487599231 50.467014817346524, 4.866757487599231 50.467014817346524, 4.866757487599231 50.467014817346524, 4.866722428488452 50.46633045790682, 4.865600536943505 50.46636021287105, 4.865635596054284 50.46690323767888, 4.8666055647858535 50.46688836036998, 4.866663996637154 50.467133835368486, 4.866839292191051 50.46714127398491, 4.866757487599231 50.467014817346524))",true,
https://velopark.ilabt.imec.be/data/Stad-Brugge_Markt-,Fietsenparking Markt,Stad Brugge,Sint-Amandsstraat,8000,,,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,220,,,,,,,https://www.openstreetmap.org/#map=18/51.20855035249693/3.2229794003069396,51.20855035249693,3.2229794003069396,,true,
https://velopark.ilabt.imec.be/data/Stad-Brugge_'t-Zand,Fietsenparking Zand ,Stad Brugge,'t Zand ,8000,,,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,665,,,,,,,https://www.openstreetmap.org/#map=18/51.20566002466825/3.2175857294350863,51.20566002466825,3.2175857294350863,,true,
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Draaiboomstraat,Fietsentrommel Draaiboomstraat,Mobiliteit en Parkeren Antwerpen,Draaiboomstraat,2660,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.176115350058154/4.3588879820890725,51.176115350058154,4.3588879820890725,"POLYGON ((4.3588785943575195 51.17612964326187, 4.358889323193579 51.176146458790015, 4.358924191910773 51.176138891803106, 4.358908098656683 51.17611114617387, 4.358871584990993 51.17611871316535, 4.3588785943575195 51.17612964326187))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Spillemansstraat,Fietsentrommel Spillemansstraat,Mobiliteit en Parkeren Antwerpen,Spillemansstraat,2140,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.2027493484664/4.447389176348224,51.2027493484664,4.447389176348224,"POLYGON ((4.4473838119301945 51.20274472686543, 4.447397222975269 51.20275481035782, 4.4474273978266865 51.20274094555515, 4.447414657333866 51.20272960162265, 4.4473838119301945 51.202744726865404))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Boekveldsplein,Fietsentrommel Boekveldsplein,Mobiliteit en Parkeren Antwerpen,Boeksveldplein,2610,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.1638144058183/4.390099873999133,51.1638144058183,4.390099873999133,"POLYGON ((4.390085121849552 51.16381861082368, 4.390105908969416 51.16384299984736, 4.390134742716326 51.16383458984066, 4.390113285044208 51.163809359811324, 4.390085121849552 51.16381861082368))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Ijskelderstraat,Fietsentrommel Ijskelderstraat,Mobiliteit en Parkeren Antwerpen,Ijskelderstraat,2660,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.18151492297579/4.352488598087802,51.18151492297579,4.352488598087802,"POLYGON ((4.35249195084907 51.18152585179308, 4.352530842879787 51.18151996704563, 4.35252413735725 51.181501892459494, 4.352487256983294 51.18150651619152, 4.35249195084907 51.18152585179308))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Vaderlandstraat,Fietsentrommel Vaderlandstraat,Mobiliteit en Parkeren Antwerpen,Vaderlandstraat,2610,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.17245782582958/4.404789966065437,51.17245782582958,4.404789966065437,"POLYGON ((4.404747050721197 51.1724712793239, 4.404784601647406 51.17248641450027, 4.404810082633048 51.17246539342062, 4.4047685083933175 51.17245025823735, 4.404747050721197 51.1724712793239))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Frans-Nagelsplein,Fietsentrommel Frans Nagelsplein,Mobiliteit en Parkeren Antwerpen,Frans Nagelsplein,2610,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.17397720502976/4.391639095265417,51.17397720502976,4.391639095265417,"POLYGON ((4.391601544339209 51.173962070342725, 4.391593497712164 51.17399906623564, 4.3916337308473885 51.17400327031248, 4.391641777474432 51.17396375197481, 4.391601544339209 51.173962070342725))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Groot_Hagelkruis,Fietsentrommel Groot Hagelkruis,Mobiliteit en Parkeren Antwerpen,Groot Hagelkruis,2180,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.275118784699714/4.411682509817183,51.275118784699714,4.411682509817183,"POLYGON ((4.411661052145064 51.27513388616043, 4.41174688283354 51.275174156698085, 4.411792480386794 51.275143953798135, 4.411706649698317 51.27510871705647, 4.411661052145064 51.27513388616043))",false,5.58
https://velopark.ilabt.imec.be/data/De-Krook_De-Krook,De Krook,De Krook,Miriam Makebaplein 1,9000,fietsendepot.defietsambassade@stad.gent,092667068,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,700,2,,https://fietsambassade.gent.be/nl/fiets-parkeren/fietsenparkings,true,,,https://www.openstreetmap.org/#map=18/51.04884071768643/3.7289220560342073,51.04884071768643,3.7289220560342073,"POLYGON ((3.728936933912337 51.04883903149505, 3.728631162084639 51.048877813881234, 3.728657984174788 51.04909027333352, 3.729036175645888 51.04905823585949, 3.728936933912337 51.04883903149499))",true,
https://velopark.ilabt.imec.be/data/De-Fietsambassade-Gent_Vooruit,Vooruit,De Fietsambassade Gent,Sint Pietersnieuwstraat 116,9000,fietsendepot.defietsambassade@stad.gent,09667068,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,400,2,,https://fietsambassade.gent.be/nl/fiets-parkeren/fietsenparkings,true,,,https://www.openstreetmap.org/#map=18/51.04745970638476/3.727316879667341,51.04745970638476,3.727316879667341,"POLYGON ((3.7273176130838688 51.04747572567743, 3.7273109075613315 51.04740490349957, 3.727510732132941 51.04739900164654, 3.727512073237449 51.04746729447146, 3.7273176130838688 51.0474757256774))",true,
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Terlopplein,Fietsentrommel Terlopplein,Mobiliteit en Parkeren Antwerpen,Terlopplein,2140,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.21913504946386/4.444457521894946,51.21913504946386,4.444457521894946,"POLYGON ((4.4444776384625575 51.21915856923647, 4.444446793058886 51.21915058931498, 4.444466909626498 51.21912202958458, 4.444497755030169 51.21913000951105, 4.4444776384625575 51.21915856923641))",false,5.58
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Reuzenstraat,Fietsentrommel Reuzenstraat,Mobiliteit en Parkeren Antwerpen,Reuzenstraat,2140,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,1,,https://www.antwerpen.be/nl/info/5450b7ffaea8a79c338b4580/de-buurtfietsenstalling,false,,Buurtbewoners,https://www.openstreetmap.org/#map=18/51.21576949812845/4.441077267983928,51.21576949812845,4.441077267983928,"POLYGON ((4.441053128102794 51.215764877833976, 4.441042399266735 51.215786719222024, 4.44109202013351 51.21579385967357, 4.441101407865062 51.215773698395765, 4.441053128102794 51.215764877833976))",false,5.58
